Ancestor?,Scan date,Nr,Name,Nickname,Gender,Level,possibleLevels,CP,HP,Dust cost,Overall appraisal,ATT max?,DEF max?,HP max?,Stats appraisal,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,DPS,Sword,Shield,Eye,Star,Custom1,Custom2,Saved,Form,Egg,Lucky
0,10/27/18 21:38:36,285,Shroomish,41⑤⑧⑤㉖,♂,26.0,26.0,446,85,4000,?,0,0,0,?,28.9,40.9,51.1,5.3,7.6,5.5,0, - ,- ,0.0,0,0,0,0,,,0,284,0,1
0,10/27/18 21:35:07,315,Roselia,62⓮❸⓫㉚PJDG,♀,30.0,30.0,1386,81,5000,<65%,1,0,0,13-14,62.2,62.2,62.2,14.0,3.0,11.0,1,Poison Jab,Dazzling Gleam,20.0,0,0,0,0,,,0,314,0,1
0,10/27/18 21:33:56,315,Roselia,67⓮⓭❸㉛RLSb,♀,31.0,31.0;32.0,1401,75,6000,<81%,1,0,0,13-14,66.7,66.7,66.7,14.0,13.0,3.0,1,Razor Leaf,Sludge Bomb,22.3,0,0,0,0,,,0,314,0,1
0,10/27/18 21:32:08,315,Roselia,98⓯⓯⓮㉛RLPB,♂,31.0,31.0;32.0,1491,84,3000,>81%,1,1,0,15,97.8,97.8,97.8,15.0,15.0,14.0,1,Razor Leaf,Petal Blizzard,19.5,0,0,0,0,,,1,314,1,0
1,10/27/18 21:32:08,315,Roselia,-,-,31.0,31.0,1491,84,6000,>81%,1,1,0,15,97.8,97.8,97.8,15.0,15.0,14.0,1,-,-,-,0,0,0,0,,,,314,1,
0,10/27/18 21:29:30,285,Shroomish,42⓮②③㉛?,♂,?,31.0;32.0,566,91,6000,<50%,1,0,0,13-14,37.8,42.2,46.7,14.0,1.5,3.5,0, - ,- ,0.0,0,0,0,0,,,0,284,0,1
0,10/27/18 21:26:56,133,Eevee,59⑭⑧⑤㉛?,♂,?,31.0;32.0,785,85,6000,<65%,1,0,0,13-14,53.3,58.9,64.4,13.5,7.5,5.5,0, - ,- ,0.0,0,0,0,0,,,0,132,0,1
0,10/27/18 19:40:55,320,Wailmer,93⓯⓯⓬⑳,♀,20.0,20.0,809,162,1250,?,0,0,0,?,93.3,93.3,93.3,15.0,15.0,12.0,1, - ,- ,0.0,0,0,0,0,,,0,319,1,0
0,10/27/18 19:38:18,259,Marshtomp,89⓬⓮⓮⑳,♂,20.0,20.0,902,91,2500,>81%,0,1,1,13-14,88.9,88.9,88.9,12.0,14.0,14.0,1, - ,- ,0.0,0,0,0,0,,,0,258,0,1
0,10/27/18 19:36:30,179,Mareep,47❼❼❼⑤,♂,5.0,5.0,104,33,600,<50%,1,1,1,0-7,46.7,46.7,46.7,7.0,7.0,7.0,1, - ,- ,0.0,0,0,0,0,,,0,178,0,1
0,10/27/18 19:34:53,66,Machop,39⑤④❾㉚,♂,30.0,30.0,887,109,5000,?,0,0,0,?,37.8,38.9,40.0,5.0,3.5,9.0,0, - ,- ,0.0,0,0,0,0,,,0,65,0,1
0,10/27/18 17:26:24,356,Dusclops,76⓯⓭❻⑫HeSP,♂,12.0,12.0,433,39,1300,<81%,1,0,0,15,75.6,75.6,75.6,15.0,13.0,6.0,1,Hex,Shadow Punch,7.2,0,0,0,0,,,1,355,0,1
1,10/27/18 17:26:24,355,Duskull,-,-,12.0,12.0,163,21,1300,<81%,1,0,0,15,75.6,75.6,75.6,15.0,13.0,6.0,1,-,-,-,0,0,0,0,,,,355,0,
0,10/27/18 17:26:20,355,Duskull,62⑤⑧⓯⑰,♀,17.0,17.0,220,30,2200,?,0,0,0,?,48.9,61.9,73.3,5.3,7.6,15.0,0, - ,- ,0.0,0,0,0,0,,,0,354,0,1
0,10/27/18 17:26:04,355,Duskull,67⑩⑦⑭⑰,♀,17.0,17.0,230,29,2200,?,0,0,1,13-14,55.6,67.4,77.8,9.9,6.9,13.6,0, - ,- ,0.0,0,0,0,0,,,0,354,0,1
0,10/27/18 17:25:56,355,Duskull,42⑨⑨②㉓,♂,23.0,23.0,272,26,3500,?,0,0,0,?,31.1,42.2,53.3,8.9,8.6,1.6,0, - ,- ,0.0,0,0,0,0,,,0,354,0,1
0,10/27/18 17:25:28,353,Shuppet,49⑩⑨③⑰,♀,17.0,17.0,370,50,2200,?,0,0,0,?,48.9,48.9,48.9,10.0,8.6,3.5,0, - ,- ,0.0,0,0,0,0,,,0,352,0,1
0,10/27/18 17:25:25,353,Shuppet,56⑨⑧⑨㉕,♂,25.0,25.0,551,64,4000,?,0,0,0,?,55.6,55.6,55.6,8.6,7.6,8.7,0, - ,- ,0.0,0,0,0,0,,,0,352,0,1
0,10/27/18 17:25:22,353,Shuppet,49⑥⑥❿㉘,♂,28.0,28.0,604,69,4500,?,0,0,0,?,48.9,48.9,48.9,6.0,6.0,10.0,0, - ,- ,0.0,0,0,0,0,,,0,352,0,1
0,10/27/18 17:23:58,198,Murkrow,33①①⓭⑱FAFP,♀,18.0,18.0,611,75,2200,?,0,0,0,?,33.3,33.3,33.3,1.0,1.0,13.0,0,Feint Attack,Foul Play,16.6,0,0,0,0,,,0,197,0,1
0,10/27/18 16:29:50,487,Giratina Altered,93⓬⓯⓯㉕SCSS,,25.0,25.0,2378,199,4000,>81%,0,1,1,15,93.3,93.3,93.3,12.0,15.0,15.0,1,Shadow Claw,Shadow Sneak,16.6,0,0,0,0,,,0,552,0,1
0,10/27/18 16:27:20,198,Murkrow,51⑪⑩③⑥PeDp,♀,6.0,6.0,208,39,600,?,0,0,0,?,51.1,51.3,53.3,10.6,9.6,3.0,0,Peck,Dark Pulse,8.2,0,0,0,0,,,0,197,0,1
0,10/27/18 16:27:11,198,Murkrow,58⑫⑬①⑧PeDp,♂,8.0,8.0,289,45,800,?,0,0,0,?,57.8,57.8,57.8,12.2,12.6,1.3,0,Peck,Dark Pulse,9.5,0,0,0,0,,,0,197,0,1
0,10/27/18 16:27:02,198,Murkrow,33④④⑦⑭PeFP,♀,14.0,14.0,480,63,1600,?,0,0,0,?,33.3,33.3,33.3,4.1,3.7,7.2,0,Peck,Foul Play,13.9,0,0,0,0,,,0,197,0,1
0,10/27/18 16:26:54,198,Murkrow,62⑧⑧⑫㉑PeDp,♀,21.0,21.0,767,80,3000,?,0,0,0,?,62.2,62.2,62.2,8.3,7.9,11.8,0,Peck,Dark Pulse,15.8,0,0,0,0,,,0,197,0,1
0,10/27/18 16:26:30,198,Murkrow,84⑫⑪⓯⑳PeDP,♀,20.0,20.0,767,80,2500,>81%,0,0,1,15,84.4,84.4,84.4,12.0,11.0,15.0,0,Peck,Drill Peck,16.6,0,0,0,0,,,0,197,0,1
0,10/27/18 16:26:21,198,Murkrow,60⑧⑤⓯㉔PeDP,♂,24.0,24.0,868,88,3500,?,0,0,0,?,60.0,60.0,60.0,7.5,4.5,15.0,0,Peck,Drill Peck,18.3,0,0,0,0,,,0,197,0,1
0,10/27/18 16:26:06,198,Murkrow,51⑧⑥⑨㉙FAFP,♂,29.0,29.0,1036,92,5000,?,0,0,0,?,51.1,51.1,51.1,8.0,6.1,8.9,0,Feint Attack,Foul Play,20.9,0,0,0,0,,,0,197,0,1
0,10/27/18 16:19:53,425,Drifloon,84⓮⓭⓫㉙,♀,29.0,29.0,965,156,5000,>81%,1,0,0,13-14,84.4,84.4,84.4,14.0,13.0,11.0,1, - ,- ,0.0,0,0,0,0,,,0,468,0,1
0,10/27/18 16:07:34,270,Lotad,5②⓪⓪④,♂,4.0,4.0,39,20,400,<50%,1,0,0,0-7,2.2,5.0,6.7,1.8,0.3,0.3,0, - ,- ,0.0,0,0,0,0,,,0,269,0,1
0,10/27/18 16:06:23,228,Houndour,69⑨⑧⑭⑧,♂,8.0,8.0,232,39,800,?,0,0,0,?,66.7,69.5,73.3,9.0,7.7,14.5,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 16:06:21,228,Houndour,38①②⑭⑨,♂,9.0,9.0,242,41,1000,?,0,0,0,?,35.6,37.5,37.8,1.0,1.9,14.0,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 16:04:12,161,Sentret,50⑭④⑤㉖,♀,26.0,26.0,334,51,4000,?,0,0,0,?,48.9,50.0,51.1,13.5,3.5,5.5,0, - ,- ,0.0,0,0,0,0,,,0,160,0,1
0,10/27/18 16:03:56,92,Gastly,67⑨⑩⑫⑰,♂,17.0,17.0,446,39,2200,?,0,0,0,?,64.4,67.0,68.9,8.6,10.0,11.6,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 16:03:45,92,Gastly,54⑦⑧⑨㉔,♀,24.0,24.0,607,45,3500,?,0,0,0,?,51.1,54.3,57.8,7.4,7.6,9.4,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 16:03:34,92,Gastly,67⑪⑬⑥㉔,♂,24.0,24.0,625,43,3500,?,0,0,0,?,66.7,67.1,68.9,11.0,12.8,6.4,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 16:01:56,92,Gastly,71❿⓮❽㉔,♀,24.0,24.0,634,44,3500,<81%,0,1,0,13-14,71.1,71.1,71.1,10.0,14.0,8.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 16:01:32,92,Gastly,62❽❾⓫㉞,♂,34.0,33.0;34.0,829,53,7000,<65%,0,0,1,8-12,62.2,62.2,62.2,8.0,9.0,11.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 16:01:09,63,Abra,33③⑨③⑪,♂,11.0,11.0,299,23,1300,?,0,0,0,?,31.1,33.4,37.8,3.5,8.6,3.0,0, - ,- ,0.0,0,0,0,0,,,0,62,0,1
0,10/27/18 15:57:12,215,Sneasel,80⑭⓬⑩⑮ISAv,♀,15.0,15.0,773,62,1900,<81%,1,0,0,13-14,80.0,80.0,80.0,13.5,12.0,10.5,0,Ice Shard,Avalanche,15.8,0,0,0,0,,,0,214,0,1
0,10/27/18 15:57:03,200,Misdreavus,47②④⑮⑪HeOW,♂,11.0,11.0,504,59,1300,?,0,0,0,?,42.2,47.1,53.3,2.0,4.4,14.8,0,Hex,Ominous Wind,9.8,0,0,0,0,,,0,199,0,1
0,10/27/18 15:56:41,198,Murkrow,38⑦⑨②㉑PeDp,♂,21.0,21.0,733,74,3000,?,0,0,0,?,37.8,37.8,37.8,6.6,8.7,1.7,0,Peck,Dark Pulse,15.5,0,0,0,0,,,0,197,0,1
0,10/27/18 15:56:23,228,Houndour,28⑤⑤④⑭,♂,14.0,14.0,373,46,1600,?,0,0,0,?,26.7,28.1,31.1,4.5,4.5,3.5,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 15:56:12,198,Murkrow,37①①⑭⑥FAFP,♂,6.0,6.0,197,43,600,?,0,0,0,?,35.6,36.7,37.8,1.0,1.0,14.5,0,Feint Attack,Foul Play,9.4,0,0,0,0,,,0,197,0,1
0,10/27/18 15:55:57,198,Murkrow,74⑩⑨⑭④FADP,♂,4.0,4.0,137,34,400,?,0,0,0,?,73.3,74.4,75.6,10.0,9.5,14.1,0,Feint Attack,Drill Peck,7.3,0,0,0,0,,,0,197,0,1
0,10/27/18 13:32:17,92,Gastly,53⑩⑥❽㉖,♂,26.0,26.0,653,46,4000,?,0,0,0,?,51.1,53.3,55.6,9.7,6.3,8.0,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 11:26:33,487,Giratina Altered,80⓫⓯❿㉕DBSS,,25.0,25.0,2346,196,4000,<81%,0,1,0,?,80.0,80.0,80.0,11.0,15.0,10.0,1,Dragon Breath,Shadow Sneak,16.2,0,0,0,0,,,0,552,0,1
0,10/27/18 09:55:17,209,Snubbull,58⑨⑦⑩㉗,♀,27.0,27.0,785,90,4500,?,0,0,0,?,55.6,58.1,62.2,9.2,6.5,10.5,0, - ,- ,0.0,0,0,0,0,,,0,208,0,1
0,10/27/18 09:54:11,151,Mew,82⓭⓬⓬⑮DTSE,,15.0,15.0,1295,109,1900,>81%,1,0,0,13-14,82.2,82.2,82.2,13.0,12.0,12.0,1,Dragon Tail,Stone Edge,14.6,0,0,0,0,,,0,150,0,1
0,10/27/18 09:51:46,92,Gastly,45⑥⑥❽⑰,♀,17.0,17.0,418,37,2200,?,0,0,0,?,42.2,44.7,48.9,6.4,5.8,8.0,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 09:51:33,236,Tyrogue,44③⑦⑨⑳,♂,20.0,20.0,180,47,2500,?,0,0,0,?,35.6,44.4,53.3,3.3,7.3,9.5,0, - ,- ,0.0,0,0,0,0,,,0,235,0,1
0,10/27/18 09:51:22,259,Marshtomp,52⑪⑦⑥⑪,♂,11.0,11.0,467,64,1300,?,0,0,0,?,46.7,52.3,60.0,10.6,7.4,5.5,0, - ,- ,0.0,0,0,0,0,,,0,258,0,1
0,10/27/18 09:50:52,66,Machop,40⑧⑧②⑮,♂,15.0,15.0,452,73,1900,?,0,0,0,?,37.8,40.2,44.4,7.8,7.8,2.5,0, - ,- ,0.0,0,0,0,0,,,0,65,0,1
0,10/27/18 09:50:43,66,Machop,60⑩⑨⑦⑮,♂,15.0,15.0,472,76,1900,?,0,0,0,?,57.8,60.4,64.4,10.4,9.3,7.5,0, - ,- ,0.0,0,0,0,0,,,0,65,0,1
0,10/27/18 09:50:22,92,Gastly,38⑥③❽㉔,♀,24.0,24.0,579,44,3500,?,0,0,0,?,35.6,37.8,40.0,5.7,3.3,8.0,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 09:50:03,215,Sneasel,51⑦⑦⑧⑮ISAv,♂,15.0,15.0,732,61,1900,?,0,0,0,?,44.4,51.1,57.8,7.1,7.4,8.5,0,Ice Shard,Avalanche,15.7,0,0,0,0,,,0,214,0,1
0,10/27/18 09:49:54,198,Murkrow,60⑨⑦⓫㉘PeFP,♀,28.0,28.0,1019,92,4500,?,0,0,0,?,60.0,60.0,60.0,9.4,6.6,11.0,0,Peck,Foul Play,19.7,0,0,0,0,,,0,197,0,1
0,10/27/18 09:49:34,93,Haunter,78⓬⓭❿㉛,♀,31.0,31.0,1430,73,6000,<81%,0,1,0,13-14,77.8,77.8,77.8,12.0,13.0,10.0,1, - ,- ,0.0,0,0,0,0,,,0,92,0,1
0,10/27/18 09:49:09,123,Scyther,91⓬⓯⓮㉒,♀,22.0,22.0,1524,96,3000,>81%,0,1,0,15,91.1,91.1,91.1,12.0,15.0,14.0,1, - ,- ,0.0,0,0,0,0,,,0,122,0,1
0,10/27/18 09:47:22,147,Dratini,62⑨⑦⑫⑮,♂,15.0,15.0,333,48,1900,<65%,0,0,1,8-12,60.0,61.8,64.4,9.0,7.2,11.6,0, - ,- ,0.0,0,0,0,0,,,0,146,0,1
0,10/27/18 09:46:08,92,Gastly,84⓬⓯⓫⑱,♀,18.0,18.0,494,40,2200,>81%,0,1,0,15,84.4,84.4,84.4,12.0,15.0,11.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 09:44:33,92,Gastly,37⑥⑧②⑳,♂,20.0,20.0,478,37,2500,?,0,0,0,?,35.6,37.1,40.0,6.2,8.1,2.4,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 09:43:23,224,Octillery,59⑨⑫⑥㉛?MSWP,♀,?,31.0;32.0,1740,115,6000,?,0,0,0,?,51.1,59.2,64.4,9.0,11.8,5.9,0,Mud Shot,Water Pulse,17.8,0,0,0,0,,,0,223,0,1
0,10/27/18 09:42:16,102,Exeggcute,54⑦⑥⑪㉙,♂,29.0,29.0,817,94,5000,<65%,0,0,1,8-12,51.1,54.4,57.8,7.0,6.0,11.5,0, - ,- ,0.0,0,0,0,0,,,0,101,0,1
0,10/27/18 09:37:18,198,Murkrow,51❾❺❾㉚FADp,♀,30.0,30.0,1073,94,5000,<65%,1,0,1,8-12,51.1,51.1,51.1,9.0,5.0,9.0,1,Feint Attack,Dark Pulse,19.5,0,0,0,0,,,0,197,0,1
0,10/27/18 09:31:57,198,Murkrow,84⓫⓮⓭㉚FADP,♂,30.0,30.0,1154,97,5000,>81%,0,1,0,13-14,84.4,84.4,84.4,11.0,14.0,13.0,1,Feint Attack,Drill Peck,20.8,0,0,0,0,,,0,197,0,1
0,10/27/18 09:30:41,207,Gligar,90⑫⓯⑬⑤WA,♀,5.0,5.0,231,41,300,>81%,0,1,0,15,88.9,89.6,91.1,12.3,15.0,13.0,0,Wing Attack,- ,0.0,0,0,0,0,,,0,206,1,0
0,10/27/18 09:29:37,215,Sneasel,49⑦⑦⑦②FAIP,♂,2.0,2.0,75,19,200,?,0,0,0,?,40.0,49.3,60.0,7.3,7.5,7.5,0,Feint Attack,Ice Punch,4.8,0,0,0,0,,,0,214,0,1
0,10/27/18 09:26:10,215,Sneasel,26②④⑤④ISFP,♂,4.0,4.0,170,29,400,?,0,0,0,?,22.2,26.3,31.1,2.2,4.4,5.3,0,Ice Shard,Foul Play,7.4,0,0,0,0,,,0,214,0,1
0,10/27/18 09:23:48,92,Gastly,64⓯❺❾㉖,♀,26.0,26.0,670,47,4000,<65%,1,0,0,15,64.4,64.4,64.4,15.0,5.0,9.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 09:21:04,333,Swablu,51⑦⑧⑧㉛?,♀,?,31.0;32.0,550,72,6000,?,0,0,0,?,40.0,51.4,62.2,7.4,8.0,7.8,0, - ,- ,0.0,0,0,0,0,,,0,332,0,1
0,10/27/18 09:18:01,200,Misdreavus,64⑩⑤⓮⑥HeOW,♀,6.0,6.0,276,43,600,?,0,0,1,13-14,57.8,63.7,71.1,9.6,5.1,14.0,0,Hex,Ominous Wind,7.1,0,0,0,0,,,0,199,0,1
0,10/27/18 09:16:18,229,Houndoom,78⓫⓭⓫⑳FFFP,♀,20.0,20.0,1395,96,2500,<81%,0,1,0,13-14,77.8,77.8,77.8,11.0,13.0,11.0,1,Fire Fang,Foul Play,22.4,0,0,0,0,,,0,228,0,1
0,10/27/18 09:13:20,94,Gengar,47❽❽❺㉚HeFB,♀,30.0,30.0,2062,91,5000,<50%,1,1,0,8-12,46.7,46.7,46.7,8.0,8.0,5.0,1,Hex,Focus Blast,23.0,0,0,0,0,,,0,93,0,1
0,10/27/18 09:03:21,487,Giratina Altered,84⓫⓯⓬⑳DBSS,,20.0,20.0,1883,176,2500,>81%,0,1,0,15,84.4,84.4,84.4,11.0,15.0,12.0,1,Dragon Breath,Shadow Sneak,14.5,0,0,0,0,,,1,552,0,1
0,10/27/18 09:03:07,487,Giratina Altered,87⓬⓬⓯⑳DBSS,,20.0,20.0,1890,178,2500,>81%,0,0,1,15,86.7,86.7,86.7,12.0,12.0,15.0,1,Dragon Breath,Shadow Sneak,14.5,0,0,0,0,,,1,552,0,1
0,10/27/18 09:01:57,403,Shinx,82❿⓬⓯⑳,♂,20.0,20.0,472,85,2500,?,0,0,0,?,82.2,82.2,82.2,10.0,12.0,15.0,1, - ,- ,0.0,0,0,0,0,,,0,446,0,1
0,10/27/18 08:59:23,425,Drifloon,74⑪⑩⑬㉑,♂,21.0,21.0,671,134,3000,?,0,0,0,?,71.1,73.7,77.8,10.5,10.0,12.7,0, - ,- ,0.0,0,0,0,0,,,0,468,0,1
0,10/27/18 08:59:21,425,Drifloon,48⑨⑨⑤㉒,♂,22.0,22.0,674,132,3000,?,0,0,0,?,44.4,48.4,53.3,8.6,8.7,4.6,0, - ,- ,0.0,0,0,0,0,,,0,468,0,1
0,10/27/18 08:59:18,425,Drifloon,13⓿❶❺㉕,♀,25.0,25.0,684,141,4000,?,0,0,0,?,13.3,13.3,13.3,0.0,1.0,5.0,1, - ,- ,0.0,0,0,0,0,,,0,468,0,1
0,10/27/18 08:59:16,425,Drifloon,51❹❻⓭㉗,♂,27.0,27.0,801,152,4500,?,0,0,0,?,51.1,51.1,51.1,4.0,6.0,13.0,1, - ,- ,0.0,0,0,0,0,,,0,468,0,1
0,10/27/18 08:59:12,425,Drifloon,65⑬⑧⑧㉘,♀,28.0,28.0,896,151,4500,?,0,0,0,?,64.4,65.2,66.7,13.3,8.3,7.7,0, - ,- ,0.0,0,0,0,0,,,0,468,0,1
0,10/27/18 08:57:21,320,Wailmer,80⓫⓯❿⑮,♀,15.0,15.0,589,139,1900,<81%,0,1,0,15,80.0,80.0,80.0,11.0,15.0,10.0,1, - ,- ,0.0,0,0,0,0,,,0,319,0,1
0,10/27/18 08:56:04,261,Poochyena,94⑭⑭⓯⑤,♂,5.0,5.0,74,24,300,>81%,0,0,1,15,93.3,94.1,95.6,13.7,13.7,15.0,0, - ,- ,0.0,0,0,0,0,,,0,260,1,0
0,10/27/18 08:54:14,248,Tyranitar,80⓬⓮❿㉖BiCr,♂,26.0,26.0,2658,143,4000,<81%,0,1,0,13-14,80.0,80.0,80.0,12.0,14.0,10.0,1,Bite,Crunch,25.8,1,0,0,0,,,1,247,0,1
1,10/27/18 08:54:14,248,Tyranitar,-,-,25.5,25.5,2607,141,4000,<81%,0,1,0,13-14,80.0,80.0,80.0,12.0,14.0,10.0,1,-,-,-,1,0,0,0,,,,247,0,
1,10/27/18 08:54:14,248,Tyranitar,-,-,25.0,25.0,2556,140,4000,<81%,0,1,0,13-14,80.0,80.0,80.0,12.0,14.0,10.0,1,-,-,-,1,0,0,0,,,,247,0,
0,10/27/18 08:53:54,248,Tyranitar,78⑭⑪⑩㉕BiFb,♂,25.0,25.0,2556,140,4000,?,0,0,0,?,75.6,77.8,80.0,13.5,11.0,10.5,0,Bite,Fire Blast,23.6,0,0,0,0,,,0,247,0,1
0,10/27/18 08:53:19,228,Houndour,39⑥⑥⑥①,♂,1.0,1.0,13,10,200,?,0,0,0,?,20.0,39.5,55.6,5.6,6.1,6.1,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 08:53:17,228,Houndour,57⑨⑧⑩②,♂,2.0,2.0,44,16,200,?,0,0,0,?,51.1,57.5,64.4,8.5,7.8,9.6,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 08:53:15,228,Houndour,51⑧⑧⑦⑧,♂,8.0,8.0,222,36,800,?,0,0,0,?,46.7,50.5,53.3,7.9,7.8,7.0,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 08:53:13,228,Houndour,56④⑦⑭⑧,♀,8.0,8.0,224,39,800,?,0,0,0,?,53.3,56.4,60.0,4.4,6.5,14.4,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 08:53:11,228,Houndour,62⑥⑧⑭⑨,♂,9.0,9.0,258,41,1000,?,0,0,0,?,60.0,62.3,66.7,6.4,7.6,14.1,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 08:53:08,228,Houndour,74⑭⑬⑦⑨,♂,9.0,9.0,267,38,1000,?,0,0,0,?,73.3,73.7,75.6,13.8,12.7,6.7,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 08:51:49,229,Houndoom,73❿⓮❾㉛SnFb,♂,31.0,31.0;32.0,2112,117,6000,<81%,0,1,0,13-14,73.3,73.3,73.3,10.0,14.0,9.0,1,Snarl,Fire Blast,24.0,0,0,0,0,,,1,228,0,1
1,10/27/18 08:51:49,228,Houndour,-,-,31.0,31.0,907,73,6000,<81%,0,1,0,13-14,73.3,73.3,73.3,10.0,14.0,9.0,1,-,-,-,0,0,0,0,,,,228,0,
0,10/27/18 08:51:20,215,Sneasel,30②③⑨⑤FAFP,♂,5.0,5.0,221,34,600,?,0,0,0,?,26.7,30.2,33.3,1.5,3.2,8.8,0,Feint Attack,Foul Play,8.8,0,0,0,0,,,0,214,0,1
0,10/27/18 08:50:59,215,Sneasel,62⓭⓯⓿⑨ISIP,♂,9.0,9.0,443,43,1000,<65%,0,1,0,15,62.2,62.2,62.2,13.0,15.0,0.0,1,Ice Shard,Ice Punch,11.0,0,0,0,0,,,0,214,0,1
